Year,Courant,Name
1965,Socialiste,Mitterrand
1965,Extreme Droite,Tixier-Vignancour
1965,Divers Droite,Marcilhacy
1965,Droite,De Gaulle
1965,Centriste,Lecanuet
1969,Centriste,Poher
1969,Droite,Pompidou
1969,Divers Droite,Ducatel
1969,Extreme Gauche,Krivine
1969,Divers Gauche,Rocard
1969,Extreme Gauche,Duclos
1969,Socialiste,Defferre
1974,Divers Gauche,Muller
1974,Socialiste,Mitterrand
1974,Ecologiste,Dumont
1974,Extreme Gauche,Laguiller
1974,Extreme Droite,Le Pen
1974,Divers Droite,Royer
1974,Droite,Chaban-Delmas
1974,Centriste,Giscard Destaing
1981,Centriste,Giscard Destaing
1981,Droite,Chirac
1981,Droite,Debre
1981,Droite,Garaud
1981,Extreme Gauche,Laguiller
1981,Divers Gauche,Bouchardeau
1981,Extreme Gauche,Marchais
1981,Ecologiste,Lalonde
1981,Socialiste,Mitterrand
1981,Divers Gauche,Crepeau
1988,Socialiste,Mitterrand
1988,Ecologiste,Waechter
1988,Extreme Gauche,Lajoinie
1988,Divers Gauche,Juquin
1988,Extreme Gauche,Laguiller
1988,Extreme Gauche,Boussel
1988,Extreme Droite,Le Pen
1988,Droite,Chirac
1988,Centriste,Barre
1995,Centriste,Balladur
1995,Droite,Chirac
1995,Divers Droite,de Villiers
1995,Extreme Droite,Le Pen
1995,Extreme Gauche,Laguiller
1995,Extreme Gauche,Hue
1995,Ecologiste,Voynet
1995,Socialiste,Jospin
2002,Divers Gauche,Chevenement
2002,Divers Gauche,Taubira
2002,Socialiste,Jospin
2002,Ecologiste,Mamere
2002,Extreme Gauche,Hue
2002,Extreme Gauche,Besancenot
2002,Extreme Gauche,Laguiller
2002,Extreme Gauche,Gluckstein
2002,Extreme Droite,Megret
2002,Extreme Droite,Le Pen
2002,Divers Droite,Saint-Josse
2002,Divers Droite,Boutin
2002,Droite,Chirac
2002,Centriste,Bayrou
2002,Ecologiste,Lepage
2002,Divers Droite,Madelin
2007,Centriste,Bayrou
2007,Droite,Sarkozy
2007,Divers Droite,de Villiers
2007,Divers Droite,Nihous
2007,Extreme Droite,Le Pen
2007,Extreme Gauche,Schivardi
2007,Extreme Gauche,Laguiller
2007,Extreme Gauche,Besancenot
2007,Ecologiste,Bove
2007,Extreme Gauche,Buffet
2007,Ecologiste,Voynet
2007,Socialiste,Royal
2012,Socialiste,Hollande
2012,Ecologiste,Joly
2012,Extreme Gauche,Melenchon
2012,Extreme Gauche,Poutou
2012,Extreme Gauche,Arthaud
2012,Extreme Droite,Le Pen
2012,Divers Droite,Dupont-Aignan
2012,Droite,Sarkozy
2012,Divers Droite,Cheminade
2012,Centriste,Bayrou
1965,Abstention,Abstention
1969,Abstention,Abstention
1974,Abstention,Abstention
1981,Abstention,Abstention
1988,Abstention,Abstention
1995,Abstention,Abstention
2002,Abstention,Abstention
2007,Abstention,Abstention
2012,Abstention,Abstention
